date,fight_id,weightclass,f1_name,f1_age,f1_days_since_last_fight,f1_total_ufc_fight_time,f1_avg_ufc_fight_time,f1_win_rate,f1_num_win,f1_num_loss,f1_num_draw,f1_num_nc,f1_win_rate_ufc,f1_num_win_ufc,f1_num_loss_ufc,f1_num_draw_ufc,f1_num_nc_ufc,f1_finish_win_percent,f1_num_finish_win,f1_ko_win_percent,f1_num_ko_win,f1_sub_win_percent,f1_num_sub_win,f1_ud_win_percent,f1_num_ud_win,f1_finish_loss_percent,f1_num_finish_loss,f1_ko_loss_percent,f1_num_ko_loss,f1_sub_loss_percent,f1_num_sub_loss,f1_ud_loss_percent,f1_num_ud_loss,f1_kd,f1_sig_str_acc,f1_sig_str_land_permin,f1_sig_str_land,f1_sig_str_att,f1_total_str_acc,f1_total_str_land,f1_total_str_att,f1_sig_str_def_acc,f1_sig_str_abs_permin,f1_sig_str_opp_land,f1_sig_str_opp_att,f1_sig_str_head_acc,f1_sig_str_head_land,f1_sig_str_head_att,f1_sig_str_body_acc,f1_sig_str_body_land,f1_sig_str_body_att,f1_sig_str_leg_acc,f1_sig_str_leg_land,f1_sig_str_leg_att,f1_sig_str_distance_acc,f1_sig_str_distance_land,f1_sig_str_distance_att,f1_sig_str_clinch_acc,f1_sig_str_clinch_land,f1_sig_str_clinch_att,f1_sig_str_ground_acc,f1_sig_str_ground_land,f1_sig_str_ground_att,f1_td_acc,f1_td_land_permin,f1_td_land,f1_td_att,f1_ctrl_time,f1_sub_att_permin,f1_sub_att,f1_td_def_acc,f1_td_opp_land,f1_td_opp_att,f1_ctrled_time,f1_reversal,f1_opp_win_rate,f1_opp_num_win,f1_opp_num_loss,f1_opp_win_rate_ufc,f1_opp_num_win_ufc,f1_opp_num_loss_ufc,f1_opp_finish_win_percent,f1_opp_num_finish_win,f1_l_3_num_win_ufc,f1_l_3_num_loss_ufc,f1_l_3_num_finish_win,f1_l_3_num_ud_win,f1_l_3_num_finish_loss,f1_l_3_num_ud_loss,f1_l_3_sig_str_acc_cons_1,f1_l_3_sig_str_acc_cons_2,f1_l_3_sig_str_land_per10s_cons_1,f1_l_3_sig_str_land_per10s_cons_2,f1_l_3_td_acc_cons_1,f1_l_3_td_acc_cons_2,f1_l_3_td_land_permin_cons_1,f1_l_3_td_land_permin_cons_2,f1_result,f2_name,f2_age,f2_days_since_last_fight,f2_total_ufc_fight_time,f2_avg_ufc_fight_time,f2_win_rate,f2_num_win,f2_num_loss,f2_num_draw,f2_num_nc,f2_win_rate_ufc,f2_num_win_ufc,f2_num_loss_ufc,f2_num_draw_ufc,f2_num_nc_ufc,f2_finish_win_percent,f2_num_finish_win,f2_ko_win_percent,f2_num_ko_win,f2_sub_win_percent,f2_num_sub_win,f2_ud_win_percent,f2_num_ud_win,f2_finish_loss_percent,f2_num_finish_loss,f2_ko_loss_percent,f2_num_ko_loss,f2_sub_loss_percent,f2_num_sub_loss,f2_ud_loss_percent,f2_num_ud_loss,f2_kd,f2_sig_str_acc,f2_sig_str_land_permin,f2_sig_str_land,f2_sig_str_att,f2_total_str_acc,f2_total_str_land,f2_total_str_att,f2_sig_str_def_acc,f2_sig_str_abs_permin,f2_sig_str_opp_land,f2_sig_str_opp_att,f2_sig_str_head_acc,f2_sig_str_head_land,f2_sig_str_head_att,f2_sig_str_body_acc,f2_sig_str_body_land,f2_sig_str_body_att,f2_sig_str_leg_acc,f2_sig_str_leg_land,f2_sig_str_leg_att,f2_sig_str_distance_acc,f2_sig_str_distance_land,f2_sig_str_distance_att,f2_sig_str_clinch_acc,f2_sig_str_clinch_land,f2_sig_str_clinch_att,f2_sig_str_ground_acc,f2_sig_str_ground_land,f2_sig_str_ground_att,f2_td_acc,f2_td_land_permin,f2_td_land,f2_td_att,f2_ctrl_time,f2_sub_att_permin,f2_sub_att,f2_td_def_acc,f2_td_opp_land,f2_td_opp_att,f2_ctrled_time,f2_reversal,f2_opp_win_rate,f2_opp_num_win,f2_opp_num_loss,f2_opp_win_rate_ufc,f2_opp_num_win_ufc,f2_opp_num_loss_ufc,f2_opp_finish_win_percent,f2_opp_num_finish_win,f2_l_3_num_win_ufc,f2_l_3_num_loss_ufc,f2_l_3_num_finish_win,f2_l_3_num_ud_win,f2_l_3_num_finish_loss,f2_l_3_num_ud_loss,f2_l_3_sig_str_acc_cons_1,f2_l_3_sig_str_acc_cons_2,f2_l_3_sig_str_land_per10s_cons_1,f2_l_3_sig_str_land_per10s_cons_2,f2_l_3_td_acc_cons_1,f2_l_3_td_acc_cons_2,f2_l_3_td_land_permin_cons_1,f2_l_3_td_land_permin_cons_2,f2_result,win_method
23/Feb/2001,1,Welterweight,Sean Sherk,27.6,,,,100,28,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,Tiki Ghosn,24.1,,,,71,10,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Submission
23/Feb/2001,2,Middleweight,Phil Baroni,24.9,,,,52,12,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,Curtis Stout,27.3,,,,52,11,10,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Decision - Unanimous
23/Feb/2001,3,Heavyweight,Bobby Hoffman,32.3,,,,80,36,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,Mark Robinson,,,,,100,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,Overturned
23/Feb/2001,4,Heavyweight,Pedro Rizzo,26.8,,,,70,16,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,Josh Barnett,23.3,,,,85,29,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,KO/TKO
23/Feb/2001,5,Middleweight,Elvis Sinosic,30.0,,,,55,6,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,Jeremy Horn,25.5,,,,84,89,17,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Submission
23/Feb/2001,6,Welterweight,Fabiano Iha,30.6,,,,73,8,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,Phil Johns,32.4,,,,70,30,13,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Submission
23/Feb/2001,7,Lightweight,Jens Pulver,26.2,,,,59,24,17,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,Caol Uno,25.8,,,,68,30,14,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Decision - Unanimous
23/Feb/2001,8,LightHeavyweight,Tito Ortiz,26.1,,,,75,9,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,Evan Tanner,30.1,,,,92,24,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,KO/TKO
04/May/2001,9,Welterweight,Tony DeSouza,26.8,,,,89,8,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,Steve Berger,28.0,,,,50,21,21,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Decision - Unanimous
04/May/2001,10,Lightweight,BJ Penn,22.4,,,,80,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,Joey Gilbert,24.9,,,,50,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,KO/TKO
